part_number,description,quantity,price,make,model,year
114-395-16-G,"16"" GREY HO395 ALLOY WHEEL",0,148.75,Honda,"CR-V, Ridgeline","2016, 2017, 2018, 2019, 2020, 2021"

114-395-17-B,"17"" BLACK HO395 ALLOY WHEEL",8,178,Honda,Civic,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

114-80-17-B,"17"" BLACK HO80 ALLOY WHEEL",0,183.925,Honda,"Accord, CR-V, CR-Z, HR-V",2014

1180,BLIZZAK 215/60R17,3,224.0625,Honda,S2000,"2012, 2013, 2014, 2015, 2016, 2017, 2018"

11811-PLC-000,COVER T/B LOWER,2,34.762,Honda,Ridgeline,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

120-427-18-B,"18"" BLACK HO427 ALLOY WHEEL",16,212.375,Honda,Odyssey,"2011, 2012, 2013, 2014, 2015, 2016, 2017"

120-950-18-B,"18"" BLACK HO950 ALLOY WHEEL",24,212.375,Honda,Ridgeline,"2018, 2019, 2020, 2021"

12210-PZ1-003,SEAL A VALVE STEM,15,7.582,Honda,HR-V,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"

12211-PZ1-004,SEAL B VALVE STEM,15,3.281,Honda,"Crosstour, Element, HR-V, Pilot","2020, 2021, 2022, 2023"

12251-R70-A01,GASKET COMP CYLN,1,64.358,Honda,"Accord, CR-V, Crosstour, Passport, Pilot",2022

12290-59B-003,NGK ILZKAR8H8S,12,27.832,Honda,"CR-V, Odyssey, S2000","2022, 2023"

12290-5A2-A02,SPARK PLUG DXE22H,24,26.11,Honda,"Clarity, Passport, Ridgeline",2015

12290-5R0-003,SPARK PLUG DILZKA,8,26.712,Honda,Insight,"2020, 2021, 2022"

12290-6A0-A01,SPARK PLUG DILKAR,1,28.462,Honda,CR-V,2011

12290-R40-A01,S PLUG ILZKR7B11S,15,28.042,Honda,"Fit, Odyssey",2010

12290-R41-L01,SPARK PLUG DILZKR,16,28.042,Honda,Clarity,"2012, 2013, 2014, 2015"

12290-R70-A01,S PLUG ILZKR7B11,12,28.042,Honda,"CR-Z, Element, Insight, Odyssey","2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"

12290-R71-L01,SPARK PLUG,36,28.042,Honda,"Accord, CR-Z","2019, 2020"

12290-R9P-A01,SPARK PLUG DILZKR,24,28.042,Honda,S2000,"2018, 2019, 2020, 2021, 2022, 2023"

12341-59B-013,PKG HEAD COVER,31,21.294,Honda,"Clarity, Odyssey, Ridgeline, S2000",2023

12341-5A2-A01,PKG HEAD COVER A,8,17.78,Honda,"HR-V, S2000",2016

12341-5G0-A00,PKG HEAD COVER FR,5,18.676,Honda,S2000,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"

12341-P8A-A00,PKG HEAD COVER,2,14.399,Honda,Fit,2021

12341-PLC-000,PKG HEAD COVER,3,17.402,Honda,"HR-V, Passport, Pilot","2021, 2022"

12341-R40-A00,PKG HEAD COVER,9,17.402,Honda,CR-Z,"2021, 2022, 2023"

12341-R70-A00,PKG HEAD COVER FR,10,18.788,Honda,Element,2012

12341-RCA-A01,PKG HEAD COVER,5,16.201,Honda,Crosstour,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

12341-RNA-A01,PKG HEAD COVER,5,17.402,Honda,Passport,2023

12341-RPY-G01,PKG HEAD COVER A,11,22.33,Honda,"Accord, Clarity, Element, HR-V, S2000",2019

12341-RTA-000,PKG HEAD COVER,8,17.402,Honda,"Civic, Fit",2023

12342-PCX-004,SEAL SPARK PLUG T,2,8.432,Honda,"CR-V, Crosstour, S2000",2021

12342-RYE-004,SEAL SPARK PLUG T,18,5.661,Honda,"Element, Ridgeline","2019, 2020, 2021, 2022"

12351-5G0-A00,PKG HEAD COVER RR,4,18.676,Honda,"Crosstour, Element, Passport, S2000","2019, 2020, 2021, 2022"

12351-R70-A00,PKG HEAD COVER RR,9,18.788,Honda,"Fit, Odyssey, Passport","2021, 2022, 2023"

12513-P72-003,PLUG CYLN HEAD,6,15.47,Honda,Element,"2017, 2018, 2019, 2020, 2021"

13011-R70-A12,RING SET PISTON,20,66.262,Honda,Odyssey,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

13213-P8F-A11,BRG C CONNROD,24,25.844,Honda,"Crosstour, Insight","2012, 2013, 2014"

14210-PNA-000,SPROCKET C-CHAIN,4,123.746,Honda,"Accord, Clarity, Crosstour, Element, HR-V","2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"

14310-R5A-305,VTC ACTUATOR,11,217.6375,Honda,"CR-V, Element, Fit, HR-V",2023

14400-R9P-A01,BELT TIMING 197YU,6,115.01,Honda,"Civic, Element, HR-V, Passport, Ridgeline",2023

14400-RCA-A01,BELT TIMING 197YU,6,115.01,Honda,"Civic, Element, Odyssey, Ridgeline","2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"

14401-R40-A01,CHAIN(176L),7,166.7,Honda,Crosstour,2016

14510-5A2-A02,TENS COMP C-CHAIN,4,96.082,Honda,"Fit, HR-V, Pilot, Ridgeline, S2000",2014

14510-R40-A01,TENS COMP C-CHAIN,6,74.802,Honda,"Element, Odyssey, Pilot, Ridgeline",2020

14520-RAH-H01,ARM COMP CAM CHA,5,54.866,Honda,S2000,2015

14520-RCA-A01,TENSIONER COMP T/,12,213.4875,Honda,Crosstour,2015

14530-RZA-A01,GUIDE COMP C-CHAI,5,29.302,Honda,"CR-V, CR-Z, Clarity, Fit",2023

14540-RAA-A02,GUIDE COMP CAM C,5,12.495,Honda,Pilot,"2017, 2018"

14625-59B-000,ARM ASSY ROCKER,0,43.61,Honda,Element,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

14721-P8E-A00,VALVE EXHAUST,4,37.436,Honda,"CR-Z, Civic, Element, Odyssey, Pilot","2019, 2020"

14721-PNA-000,VALVE EXHAUST,3,57.89,Honda,Ridgeline,"2014, 2015, 2016, 2017, 2018, 2019"

14721-R44-A00,VALVE EXHAUST,0,29.456,Honda,"CR-Z, HR-V, Insight, Odyssey, Passport","2016, 2017, 2018"

15115-P8A-A01,PKG OIL HOLE,6,5.899,Honda,"Accord, Crosstour, HR-V, Odyssey, S2000",2023

15221-RYE-A01,RING O,5,5.457,Honda,"Accord, Ridgeline",2013

15302-5G0-A00,PKG OIL FILTER BA,2,11.016,Honda,"Accord, CR-Z, Clarity, Element, S2000","2021, 2022"

15302-RDV-J00,PKG OIL FILTER BA,3,19.922,Honda,S2000,"2019, 2020, 2021"

15312-R40-A01,O-RING A OIL FILT,0,9.469,Honda,"CR-V, S2000",2018

15400-RTA-003,OIL FILTER CARTRI,260,13.26,Honda,"CR-V, Clarity, Fit, Pilot",2018

15501000000,CONT CROSS CONT 235/55R19,0,371.2875,Honda,Odyssey,"2016, 2017, 2018, 2019, 2020, 2021"

15575000000,CONT CONT 91W 235/40R18,0,427.1375,Honda,CR-Z,"2013, 2014, 2015, 2016"

15743,BLIZZ DMV2 235/65R17,4,257.3,Honda,"CR-V, Civic, Passport",2017

15810-R70-A04,VALVE ASSY SPOOL,10,246.5625,Honda,Passport,2014

15815-R40-A01,FILTER ASSY VTEC,3,10.455,Honda,"Accord, CR-Z, Civic, Crosstour, HR-V",2019

15815-RAA-A02,FILTER ASSY SPOOL,5,7.684,Honda,Passport,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018"

15815-RPY-G01,FILTER ASSY SPOOL,3,17.402,Honda,CR-Z,2023

15825-P8A-A01,FILTER ASSY SPOOL,2,24.136,Honda,"Civic, Pilot, S2000","2022, 2023"

15826-RNA-A01,FILTER ASSY SPOOL,2,7.82,Honda,Crosstour,2022

15832-PNA-023,O-RING,1,11.424,Honda,"Civic, Clarity, Insight, Odyssey, S2000","2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

15832-RAA-A01,RING SEAL OCV,18,20.944,Honda,"Clarity, Crosstour, Ridgeline, S2000",2013

15862,BLIZZ DMV2 235/60R18,16,301.0875,Honda,"CR-V, Clarity, Element, Odyssey","2013, 2014, 2015, 2016"

16010-5PA-305,SET FUEL INJECTOR,1,491.525,Honda,HR-V,"2020, 2021, 2022"

16012-5PA-315,SET FUEL JOINT PI,3,193.975,Honda,"Crosstour, Pilot, S2000","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"

16083,BLIZZ DMV2 245/60R18,11,304.325,Honda,"Crosstour, Fit, HR-V","2011, 2012, 2013, 2014, 2015, 2016, 2017"

16219,BRDG BLIZZ 255/60R18,0,330,Honda,Civic,"2013, 2014"

17105-5AA-004,PKG IN MANIFOLD,6,7.854,Honda,Civic,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"

17122-5G0-A00,RUBBER ENG COVER,3,3.077,Honda,"CR-V, Clarity, HR-V, Passport",2011

17130-PND-A01,VALVE ASSY PCV,2,34.482,Honda,Clarity,2013

17130-RCA-A02,VALVE ASSY PCV,3,53.634,Honda,"Accord, CR-Z, Clarity, Pilot",2011

17220-51B-H00,ELEMENT ASSY AIR,3,23.03,Honda,Passport,"2021, 2022"

17220-5A2-A00,ELEMENT ASSY AIR/,2,23.03,Honda,"CR-Z, Clarity",2015

17220-5AA-A00,ELEMENT ASSY AIR,21,23.03,Honda,"CR-V, Pilot","2022, 2023"

17220-5BA-A00,ELEMENT ASSY AIR,15,23.03,Honda,Fit,2010

17220-5J6-A10,ELEMENT ASSY CLE,21,39.858,Honda,"CR-Z, Clarity, Element, Insight, Passport",2021

17220-5LA-A00,ELEMENT ASSY AIR,5,23.03,Honda,"Crosstour, Insight, Ridgeline",2015

17220-5R0-008,ELEMENT ASSY AIR/,3,23.03,Honda,"Accord, Pilot",2013

17220-64A-A00,ELEMENT ASSY AIR,4,23.03,Honda,"Accord, Civic",2014

17220-6A0-A00,ELEMENT ASSY AIR,1,23.03,Honda,Element,"2016, 2017, 2018, 2019, 2020, 2021"

17220-6B2-A00,ELEMENT ASSY AIR,3,23.03,Honda,CR-V,"2021, 2022, 2023"

17220-R1A-A01,ELEMENT ASSY AIR/,8,23.03,Honda,"CR-V, Clarity, HR-V","2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"

17220-R5A-A00,ELEMENT ASSY AIR/,5,23.03,Honda,Ridgeline,2023

17220-REZ-A00,ELEMENT ASSY AIR/,2,23.03,Honda,"Element, Fit, HR-V, Passport, S2000",2018

17220-RJE-A10,ELEMENT ASSY AIR/,1,39.858,Honda,"Crosstour, Passport, Pilot",2014

17220-RN0-A00,ELEMENT ASSY CLEA,4,39.858,Honda,Odyssey,2010

17220-RNA-A00,ELEMENT ASSY AIR/,3,23.03,Honda,"Element, Fit, Insight, Ridgeline, S2000","2013, 2014, 2015, 2016, 2017"

17220-RV0-A00,ELEMENT ASSY CLEA,3,39.858,Honda,Crosstour,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

17220-RZA-000,ELEMENT ASSY AIR/,3,23.03,Honda,"CR-Z, Civic, Insight","2020, 2021, 2022, 2023"

17225-R1A-A01,TUBE AIR FLOW,5,16.044,Honda,"Accord, CR-V, CR-Z, Clarity, S2000",2021

17228-RN0-A00,TUBE AIR FLOW,3,39.424,Honda,"Clarity, Passport, S2000",2023

17230-5BA-A00,CHAMBER ASSY RES,2,97.566,Honda,Odyssey,2016

17670-T3W-A01,CAP COMP FUEL FIL,5,44.002,Honda,Pilot,"2014, 2015, 2016, 2017, 2018"

18115-R70-A01,GSKT EXH CHAMBER,2,12.24,Honda,"CR-V, CR-Z, Crosstour, Fit, HR-V",2017

18212-SA7-003,GASKET EXH PIPE,4,15.504,Honda,"CR-Z, Insight, Odyssey","2018, 2019, 2020, 2021"

18229-SNE-A01,GASKET FLEX EXH,1,18.648,Honda,"Accord, Civic, Odyssey","2014, 2015, 2016, 2017, 2018, 2019, 2020"

18303-SM4-020,GASKET SILENCER,2,16.184,Honda,"CR-V, Clarity, Insight","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

19200-RDV-J01,PUMP COMP WATER,7,201.6875,Honda,"CR-V, Clarity, Element, Passport, Ridgeline",2019

194,BULB,23,0.85,Honda,Insight,2013

19411-P8A-A03,GSKT FR WATER PAS,2,9.061,Honda,Civic,"2020, 2021"

19412-P8A-A02,GSKT RR WATER PAS,2,5.508,Honda,HR-V,2023

19710-5PA-A01,INTERCOOLER COMP,0,222.3125,Honda,S2000,2016

19716-5AA-A01,PKG INTCLR,4,27.524,Honda,"Accord, Crosstour, Element, HR-V",2016

21285,FIRESTONE FT140 2155516,0,187.9,Honda,Accord,"2019, 2020, 2021"

24121,PERMATEX SILICONE BRAKE LUBE,6,29.414,Honda,Fit,"2010, 2011, 2012, 2013, 2014, 2015, 2016"

25430-PLR-003,FILTER COMP ATF,2,43.512,Honda,"Accord, Civic, Clarity, Passport, S2000",2023

28600-R36-004,SW ASSY AT OIL PR,3,102.942,Honda,"Accord, CR-Z, HR-V","2016, 2017, 2018, 2019, 2020"

28610-R36-004,SW ASSY AT OIL PR,1,103.194,Honda,Clarity,2012

28660-R9L-003,SENSOR ASSY OIL P,1,96.894,Honda,"CR-Z, Civic, Insight, Passport","2014, 2015"

3040,2356018 FIRESTONE ALL SEASON,0,220.075,Honda,Ridgeline,2018

30520-59B-023,COIL ASSY PLUG T,3,74.494,Honda,"Civic, Fit, HR-V, Ridgeline",2021

30520-RCA-S01,COIL COMP PLUG HO,7,236.1125,Honda,Element,"2014, 2015, 2016, 2017, 2018"

31100-RV0-A12,ALTERNATOR (CSK52,4,580.95,Honda,Element,"2017, 2018"

31110-R1A-A01,BELT ACG,3,66.332,Honda,"CR-V, Fit, Passport, S2000",2015

31110-R1A-A21,BELT ACG,1,43.218,Honda,"Fit, Insight, Odyssey, Pilot",2011

31110-R2A-M12,BELT ACG,2,50.12,Honda,"Clarity, Passport",2017

31170-RAA-A02,TENSIONER ASSY AU,3,138.15,Honda,"Clarity, Crosstour, HR-V, Passport, Ridgeline","2011, 2012, 2013, 2014, 2015, 2016, 2017"

31200-5A2-A52,MOTOR ASSY STARTE,4,367.5875,Honda,Fit,"2016, 2017, 2018, 2019"

31200-RNA-A51,MOTOR ASSY STARTE,3,221.675,Honda,"CR-V, Civic, HR-V, Ridgeline","2020, 2021, 2022, 2023"

31500-CCA-H500,BATT 51 500CCA,4,173.0625,Honda,"Civic, Fit, HR-V, Odyssey","2019, 2020"

31500-CCA-H500R,BATT 51R 500CCA,69,173.075,Honda,S2000,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

31500-SD4-H650,BATTERY24F675CCA,17,184.7,Honda,"CR-Z, Civic, Crosstour, Passport, Ridgeline",2017

31500-SL5-H500,GRP 35/500 CCA EAST,9,168.95,Honda,"CR-Z, S2000",2017

31500-TBA-H650,BATTERY 650CCA,21,210.8125,Honda,Element,"2012, 2013, 2014, 2015"

31500-TLA-H560,BATTERY EFB,16,246.2375,Honda,"Accord, Civic, Element, Ridgeline, S2000","2017, 2018, 2019"

31500-TZ3-H760,GROUP48 AGM,5,357.8125,Honda,Pilot,2015

31670-BMS-004H,OPTIMATE TM233,9,113.4,Honda,"CR-Z, Crosstour","2013, 2014, 2015, 2016, 2017, 2018, 2019"

32109-T6Z-305,HARN TAILGATE,3,23.982,Honda,CR-Z,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"

32109-T6Z-A02,WIRE HARN TAILGAT,1,23.982,Honda,"Crosstour, Element, Odyssey, Ridgeline, S2000","2016, 2017"

33100-TBA-A01,LIGHT ASSY R HEA,1,511.4125,Honda,"Clarity, Element, Fit, Ridgeline",2023

33100-TLA-305,LIGHT ASSY R HEAD,1,794.75,Honda,"Accord, CR-V, Fit, S2000",2019

33100-TR0-A51,LIGHT ASSY R HEAD,1,496.525,Honda,"Civic, Clarity","2020, 2021"

33102-TLA-A01,MLDG HOLDER R,10,8.007,Honda,"CR-V, Civic","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"

33115-S84-A01,BULB HEAD LIGHT (,1,18.368,Honda,"CR-V, Insight","2022, 2023"

33115-SJC-A01,BULB HEAD LIGHT (,4,20.72,Honda,Passport,"2019, 2020, 2021, 2022, 2023"

33115-TY0-003,BULB HEAD LIGHT (,5,41.104,Honda,Ridgeline,2018

33116-TA0-A01,BULB HEAD LIGHT (,3,20.608,Honda,Insight,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

33152-TLA-A01,MLDG HOLDER L,13,7.14,Honda,HR-V,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"

33155-TBA-A01,CLIP,2,26.74,Honda,"Accord, Clarity, Crosstour, HR-V","2010, 2011, 2012, 2013, 2014, 2015, 2016"

33165-SAA-003,BULB FOG LIGHT (H,14,26.95,Honda,"CR-V, HR-V, Passport, Ridgeline, S2000",2019

33303-SL4-003,BULB 12V 21W WEDG,4,7.293,Honda,"CR-V, Fit","2022, 2023"

33500-TBA-A01,LIGHT ASSY R TAIL,2,252.3875,Honda,"CR-Z, Clarity, Crosstour, Pilot, Ridgeline",2020

33505-TVA-A01,REAR RR ASSY R,3,38.234,Honda,Odyssey,2014

33550-TBA-A01,LIGHT ASSY L TAIL,2,252.3875,Honda,"CR-V, Crosstour, Fit, Insight",2010

33800-TBA-A02,LIGHT ASSY R FR S,0,19.138,Honda,Passport,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"

33850-TBA-A02,LIGHT ASSY L FR S,2,19.138,Honda,Fit,"2019, 2020, 2021, 2022"

33900-T0A-A01,LIGHT ASSY FR FOG,2,239.75,Honda,Passport,2015

33900-T5R-A01,LIGHT ASSY R FR,1,226.65,Honda,Pilot,2011

33900-T6Z-A01,LIGHT ASSY R FRFO,2,125.664,Honda,Civic,"2020, 2021"

